,Time,Image file,File path,Predicted label
778,2022-09-16 11:30:01,WSCT9182.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9182.JPG,0
926,2022-09-16 12:00:01,WSCT9183.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9183.JPG,0
1091,2022-09-16 12:30:01,WSCT9184.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9184.JPG,0
1241,2022-09-16 13:00:01,WSCT9185.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9185.JPG,0
1088,2022-09-16 13:30:01,WSCT9186.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9186.JPG,0
932,2022-09-16 14:00:01,WSCT9187.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9187.JPG,0
1245,2022-09-16 14:30:01,WSCT9188.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9188.JPG,0
1396,2022-09-16 15:00:01,WSCT9189.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9189.JPG,0
1090,2022-09-16 15:30:01,WSCT9190.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9190.JPG,0
1244,2022-09-16 16:00:01,WSCT9191.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9191.JPG,0
1084,2022-09-16 16:30:01,WSCT9192.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9192.JPG,0
934,2022-09-16 17:00:01,WSCT9193.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9193.JPG,0
771,2022-09-16 17:30:01,WSCT9194.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9194.JPG,0
627,2022-09-16 18:00:01,WSCT9195.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9195.JPG,0
781,2022-09-16 18:30:01,WSCT9196.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9196.JPG,0
925,2022-09-16 19:00:01,WSCT9197.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9197.JPG,0
1840,2022-09-16 19:30:01,WSCT9198.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9198.JPG,0
1741,2022-09-17 06:30:01,WSCT9204.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9204.JPG,0
1801,2022-09-17 07:00:01,WSCT9205.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9205.JPG,0
1649,2022-09-17 07:30:01,WSCT9206.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9206.JPG,0
1598,2022-09-17 08:00:01,WSCT9207.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9207.JPG,0
676,2022-09-17 08:30:01,WSCT9208.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9208.JPG,0
720,2022-09-17 09:00:01,WSCT9209.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9209.JPG,0
1745,2022-09-17 09:30:01,WSCT9210.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9210.JPG,0
1800,2022-09-17 10:00:01,WSCT9211.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9211.JPG,0
1651,2022-09-17 10:30:01,WSCT9212.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9212.JPG,0
1593,2022-09-17 11:00:01,WSCT9213.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9213.JPG,0
1337,2022-09-17 11:30:01,WSCT9214.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9214.JPG,0
1303,2022-09-17 12:00:01,WSCT9215.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9215.JPG,0
1453,2022-09-17 12:30:01,WSCT9216.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9216.JPG,0
1494,2022-09-17 13:00:01,WSCT9217.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9217.JPG,0
1186,2022-09-17 13:30:01,WSCT9218.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9218.JPG,0
1145,2022-09-17 14:00:01,WSCT9219.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9219.JPG,0
680,2022-09-17 14:30:01,WSCT9220.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9220.JPG,0
719,2022-09-17 15:00:01,WSCT9221.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9221.JPG,0
867,2022-09-17 15:30:01,WSCT9222.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9222.JPG,0
836,2022-09-17 16:00:01,WSCT9223.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9223.JPG,0
1194,2022-09-17 16:30:01,WSCT9224.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9224.JPG,0
1137,2022-09-17 17:00:01,WSCT9225.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9225.JPG,0
986,2022-09-17 17:30:01,WSCT9226.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9226.JPG,0
1036,2022-09-17 18:00:01,WSCT9227.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9227.JPG,0
1342,2022-09-17 18:30:01,WSCT9228.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9228.JPG,0
1296,2022-09-17 19:00:01,WSCT9229.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9229.JPG,0
