,Time,Predicted label
1025,2022-08-25 06:30:01,1
1026,2022-08-25 07:00:01,1
1027,2022-08-25 07:30:01,0
1028,2022-08-25 08:00:01,0
1029,2022-08-25 08:30:01,0
1030,2022-08-25 09:00:01,0
1031,2022-08-25 09:30:01,1
1032,2022-08-25 10:00:01,0
1033,2022-08-25 10:30:01,0
1034,2022-08-25 11:00:01,0
1035,2022-08-25 11:30:01,0
1036,2022-08-25 12:00:01,0
1037,2022-08-25 12:30:01,0
1038,2022-08-25 13:00:01,0
1039,2022-08-25 13:30:01,0
1040,2022-08-25 14:00:01,0
1041,2022-08-25 14:30:01,0
1042,2022-08-25 15:00:01,0
1043,2022-08-25 15:30:01,0
1044,2022-08-25 16:00:01,0
1045,2022-08-25 16:30:01,0
1046,2022-08-25 17:00:01,0
1047,2022-08-25 17:30:01,0
1048,2022-08-25 18:00:01,0
1049,2022-08-25 18:30:01,0
1050,2022-08-25 19:00:01,1
1051,2022-08-25 19:30:01,1
1052,2022-08-26 06:00:01,0
1053,2022-08-26 06:30:01,1
1054,2022-08-26 07:00:01,1
1055,2022-08-26 07:30:01,0
1056,2022-08-26 08:00:01,1
1057,2022-08-26 08:30:01,0
1058,2022-08-26 09:00:01,0
1059,2022-08-26 09:30:01,0
1060,2022-08-26 10:00:01,0
1061,2022-08-26 10:30:01,0
1062,2022-08-26 11:00:01,0
1063,2022-08-26 11:30:01,1
1064,2022-08-26 12:00:01,1
1065,2022-08-26 12:30:01,0
1066,2022-08-26 13:00:01,0
1067,2022-08-26 13:30:01,0
1068,2022-08-26 14:00:01,0
1069,2022-08-26 14:30:01,0
1070,2022-08-26 15:00:01,0
1071,2022-08-26 15:30:01,0
1072,2022-08-26 16:00:01,0
1073,2022-08-26 16:30:01,0
1074,2022-08-26 17:00:01,0
1075,2022-08-26 17:30:01,0
1076,2022-08-26 18:00:01,0
1077,2022-08-26 18:30:01,0
1078,2022-08-26 19:00:01,0
1079,2022-08-26 19:30:01,1
1080,2022-08-27 06:00:01,0
1081,2022-08-27 06:30:01,0
1082,2022-08-27 07:00:01,1
1083,2022-08-27 07:30:01,1
1084,2022-08-27 08:00:01,1
1085,2022-08-27 08:30:01,1
1086,2022-08-27 09:00:01,1
1087,2022-08-27 09:30:01,0
1088,2022-08-27 10:00:01,1
1089,2022-08-27 10:30:01,1
1090,2022-08-27 11:00:01,1
1091,2022-08-27 11:30:01,1
1092,2022-08-27 12:00:01,0
1093,2022-08-27 12:30:01,1
1094,2022-08-27 13:00:01,0
1095,2022-08-27 13:30:01,0
1096,2022-08-27 14:00:01,0
1097,2022-08-27 14:30:01,0
1098,2022-08-27 15:00:01,0
1099,2022-08-27 15:30:01,0
1100,2022-08-27 16:00:01,0
1101,2022-08-27 16:30:01,0
1102,2022-08-27 17:00:01,0
1103,2022-08-27 17:30:01,0
1104,2022-08-27 18:00:01,0
1105,2022-08-27 18:30:01,1
1106,2022-08-27 19:00:01,0
1107,2022-08-27 19:30:01,1
1108,2022-08-28 06:00:01,0
1109,2022-08-28 06:30:01,1
1110,2022-08-28 07:00:01,1
1111,2022-08-28 07:30:01,1
1112,2022-08-28 08:00:01,1
1113,2022-08-28 08:30:01,1
1114,2022-08-28 09:00:01,1
1115,2022-08-28 09:30:01,1
1116,2022-08-28 10:00:01,1
1117,2022-08-28 10:30:01,1
1118,2022-08-28 11:00:01,0
1119,2022-08-28 11:30:01,1
1120,2022-08-28 12:00:01,0
1121,2022-08-28 12:30:01,1
1122,2022-08-28 13:00:01,0
1123,2022-08-28 13:30:01,0
1124,2022-08-28 14:00:01,0
1125,2022-08-28 14:30:01,0
1126,2022-08-28 15:00:01,0
1127,2022-08-28 15:30:01,0
1128,2022-08-28 16:00:01,0
1129,2022-08-28 16:30:01,0
1130,2022-08-28 17:00:01,0
1131,2022-08-28 17:30:01,0
1132,2022-08-28 18:00:01,0
1133,2022-08-28 18:30:01,0
1134,2022-08-28 19:00:01,0
1135,2022-08-28 19:30:01,1
1136,2022-08-29 06:00:01,0
1137,2022-08-29 06:30:01,0
1138,2022-08-29 07:00:01,1
1139,2022-08-29 07:30:01,1
1140,2022-08-29 08:00:01,1
1141,2022-08-29 08:30:01,1
1142,2022-08-29 09:00:01,1
1143,2022-08-29 09:30:01,1
1144,2022-08-29 10:00:01,0
1145,2022-08-29 10:30:01,0
1146,2022-08-29 11:00:01,0
1147,2022-08-29 11:30:01,0
1148,2022-08-29 12:00:01,0
1149,2022-08-29 12:30:01,0
1150,2022-08-29 13:00:01,0
1151,2022-08-29 13:30:01,0
1152,2022-08-29 14:00:01,0
1153,2022-08-29 14:30:01,0
1154,2022-08-29 15:00:01,0
1155,2022-08-29 15:30:01,0
1156,2022-08-29 16:00:01,0
1157,2022-08-29 16:30:01,0
1158,2022-08-29 17:00:01,0
1159,2022-08-29 17:30:01,0
1160,2022-08-29 18:00:01,0
1161,2022-08-29 18:30:01,0
1162,2022-08-29 19:00:01,0
1163,2022-08-29 19:30:01,0
1164,2022-08-30 06:00:01,0
1165,2022-08-30 06:30:01,0
1166,2022-08-30 07:00:01,1
1167,2022-08-30 07:30:01,0
1168,2022-08-30 08:00:01,1
1169,2022-08-30 08:30:01,1
1170,2022-08-30 09:00:01,1
1171,2022-08-30 09:30:01,0
1172,2022-08-30 10:00:01,0
1173,2022-08-30 10:30:01,0
1174,2022-08-30 11:00:01,0
1175,2022-08-30 11:30:01,0
1176,2022-08-30 12:00:01,0
1177,2022-08-30 12:30:01,0
1178,2022-08-30 13:00:01,0
1179,2022-08-30 13:30:01,0
1180,2022-08-30 14:00:01,0
1181,2022-08-30 14:30:01,0
1182,2022-08-30 15:00:01,0
1183,2022-08-30 15:30:01,0
1184,2022-08-30 16:00:01,0
1185,2022-08-30 16:30:01,0
1186,2022-08-30 17:00:01,0
1187,2022-08-30 17:30:01,0
1188,2022-08-30 18:00:01,0
1189,2022-08-30 18:30:01,0
1190,2022-08-30 19:00:01,1
1191,2022-08-30 19:30:01,1
1192,2022-08-31 06:00:01,0
1193,2022-08-31 06:30:01,0
1194,2022-08-31 07:00:01,0
1195,2022-08-31 07:30:01,0
1196,2022-08-31 08:00:01,0
1197,2022-08-31 08:30:01,0
1198,2022-08-31 09:00:01,0
1199,2022-08-31 09:30:01,0
1200,2022-08-31 10:00:01,0
1201,2022-08-31 10:30:01,0
